          0.000	  1.063	  0.053	  0.021	-12.372	 -4.403	  0.802
          0.010	  1.055	  0.062	  0.035	-12.945	 -4.450	  0.410
          0.020	  1.055	  0.067	  0.044	-13.021	 -4.667	 -0.162
          0.030	  1.043	  0.085	  0.047	-13.334	 -4.111	 -0.484
          0.040	  1.028	  0.108	  0.070	-13.659	 -3.778	 -0.431
          0.050	  1.011	  0.120	  0.088	-13.365	 -4.443	  0.007
          0.060	  1.020	  0.144	  0.108	-12.070	 -6.465	  0.660
          0.070	  1.025	  0.149	  0.103	-10.372	 -8.018	  1.347
          0.080	  1.031	  0.152	  0.088	 -9.078	 -7.848	  2.080
          0.090	  1.034	  0.149	  0.088	 -8.024	 -6.654	  2.498
          0.100	  1.058	  0.141	  0.114	 -6.154	 -6.302	  2.586
          0.110	  1.078	  0.132	  0.126	 -3.375	 -6.730	  1.475
          0.120	  1.137	  0.108	  0.126	 -0.378	 -6.228	 -0.734
          0.130	  1.148	  0.091	  0.129	  2.187	 -5.013	 -3.803
          0.140	  1.146	  0.062	  0.138	  4.100	 -5.162	 -6.382
          0.150	  1.119	  0.073	  0.146	  5.360	 -5.841	 -8.166
          0.160	  1.069	  0.073	  0.141	  5.474	 -7.740	 -9.425
          0.170	  1.040	  0.073	  0.114	  5.558	 -9.653	-10.758
          0.180	  1.028	  0.082	  0.105	  5.944	-11.769	-11.458
          0.190	  0.990	  0.117	  0.100	  6.260	-14.007	-11.236
          0.200	  0.970	  0.132	  0.088	  6.020	-15.099	-10.395
          0.210	  0.943	  0.149	  0.050	  5.642	-15.039	 -9.472
          0.220	  0.940	  0.152	  0.038	  5.737	-13.960	 -8.650
          0.230	  0.940	  0.164	  0.023	  6.379	-12.569	 -7.850
          0.240	  0.940	  0.164	  0.035	  7.677	-11.396	 -7.061
          0.250	  0.949	  0.161	  0.047	  9.853	-10.270	 -6.604
          0.260	  0.955	  0.161	  0.056	 12.261	 -9.381	 -6.564
          0.270	  0.976	  0.158	  0.059	 14.475	 -8.412	 -6.577
          0.280	  0.987	  0.149	  0.062	 16.327	 -7.177	 -6.442
          0.290	  0.987	  0.146	  0.067	 17.724	 -6.316	 -5.843
          0.300	  0.990	  0.158	  0.082	 19.133	 -5.047	 -5.345
          0.310	  0.999	  0.158	  0.085	 20.221	 -4.159	 -4.860
          0.320	  1.005	  0.164	  0.091	 21.301	 -3.772	 -4.268
          0.330	  1.002	  0.170	  0.094	 22.862	 -3.480	 -3.520
          0.340	  1.002	  0.170	  0.108	 24.763	 -3.622	 -2.639
          0.350	  1.005	  0.170	  0.117	 26.889	 -4.491	 -1.804
          0.360	  1.014	  0.170	  0.120	 29.180	 -5.474	 -1.111
          0.370	  1.017	  0.170	  0.105	 31.169	 -6.431	 -0.390
          0.380	  1.020	  0.167	  0.097	 32.887	 -7.156	  0.337
          0.390	  1.025	  0.158	  0.091	 34.593	 -7.590	  0.909
          0.400	  1.028	  0.152	  0.091	 36.055	 -8.574	  1.575
          0.410	  1.028	  0.149	  0.082	 37.204	 -9.225	  2.181
          0.420	  1.034	  0.141	  0.073	 37.532	 -9.748	  2.686
          0.430	  1.025	  0.138	  0.062	 37.616	 -9.930	  3.481
          0.440	  1.022	  0.138	  0.056	 37.593	 -9.768	  4.444
          0.450	  1.020	  0.141	  0.059	 37.456	 -9.646	  5.359
          0.460	  1.025	  0.141	  0.067	 37.593	 -9.612	  6.208
          0.470	  1.022	  0.141	  0.067	 37.609	 -8.920	  6.961
          0.480	  1.017	  0.152	  0.073	 36.956	 -7.991	  7.749
          0.490	  1.008	  0.155	  0.085	 36.933	 -6.885	  8.450
          0.500	  1.005	  0.155	  0.100	 37.135	 -6.085	  8.988
          0.510	  1.005	  0.149	  0.103	 36.872	 -6.431	  9.600
          0.520	  1.011	  0.146	  0.117	 36.211	 -6.539	 10.166
          0.530	  1.011	  0.144	  0.123	 34.967	 -6.179	 10.691
          0.540	  1.011	  0.132	  0.146	 34.016	 -6.044	 11.149
          0.550	  1.014	  0.126	  0.152	 33.795	 -6.281	 11.169
          0.560	  1.043	  0.103	  0.132	 32.814	 -7.794	 10.940
          0.570	  1.063	  0.100	  0.100	 31.863	 -9.782	 10.381
          0.580	  1.125	  0.067	  0.073	 31.753	-11.817	  9.136
          0.590	  1.163	  0.023	  0.003	 31.180	-11.688	  7.008
          0.600	  1.225	  0.006	 -0.035	 28.760	 -8.703	  4.544
          0.610	  1.236	 -0.003	 -0.082	 24.542	 -3.819	  2.477
          0.620	  1.219	  0.000	 -0.085	 20.938	 -1.581	  1.259
          0.630	  1.216	  0.015	 -0.076	 19.457	 -1.018	 -0.047
          0.640	  1.219	  0.015	 -0.105	 17.109	  1.227	 -1.615
          0.650	  1.178	  0.050	 -0.144	 12.475	  4.606	 -2.174
          0.660	  1.143	  0.085	 -0.117	  8.826	  6.587	 -2.067
          0.670	  1.102	  0.126	 -0.064	  7.154	  6.444	 -2.086
          0.680	  1.081	  0.141	 -0.103	  6.390	  6.003	 -1.703
          0.690	  1.049	  0.146	 -0.126	  7.341	  5.406	 -0.889
          0.700	  1.043	  0.120	 -0.155	  9.612	  5.114	  0.182
          0.710	  1.025	  0.103	 -0.161	 11.819	  4.226	  1.259
          0.720	  0.990	  0.070	 -0.164	 13.754	  2.788	  2.020
          0.730	  0.976	  0.059	 -0.167	 15.082	  1.038	  2.215
          0.740	  0.970	  0.035	 -0.179	 14.861	 -1.445	  1.798
          0.750	  0.967	  0.023	 -0.185	 12.433	 -3.554	  1.071
          0.760	  0.967	  0.009	 -0.185	  8.131	 -5.224	  0.000
          0.770	  0.967	  0.000	 -0.170	  2.539	 -5.868	 -0.996
          0.780	  0.976	 -0.009	 -0.164	 -4.172	 -6.587	 -1.777
          0.790	  0.987	 -0.021	 -0.170	-11.945	 -6.023	 -2.020
          0.800	  1.025	 -0.026	 -0.179	-19.343	 -3.622	 -0.989
          0.810	  1.046	 -0.035	 -0.170	-25.130	 -1.194	  1.347
          0.820	  1.063	 -0.032	 -0.152	-28.852	  0.135	  4.444
          0.830	  1.069	 -0.062	 -0.114	-30.489	 -0.305	  7.500
          0.840	  1.066	 -0.041	 -0.088	-30.730	 -0.868	 10.644
          0.850	  1.040	 -0.067	 -0.097	-31.081	 -1.018	 13.014
          0.860	  1.022	 -0.073	 -0.108	-31.749	 -0.930	 14.683
          0.870	  0.996	 -0.073	 -0.094	-33.192	  0.135	 13.525
          0.880	  1.020	 -0.105	 -0.070	-34.028	 -0.753	 13.357
          0.890	  0.935	  0.026	 -0.050	-35.456	 -0.252	 13.323
          0.900	  0.938	 -0.003	 -0.064	-36.937	  1.174	 13.162
          0.910	  0.938	 -0.003	 -0.056	-37.891	  2.089	 12.926
          0.920	  0.952	  0.021	 -0.029	-37.964	  1.811	 12.502
          0.930	  0.967	  0.029	 -0.029	-37.769	  0.617	 12.058
          0.940	  0.970	  0.047	 -0.032	-37.341	 -0.814	 11.889
          0.950	  0.967	  0.047	 -0.029	-36.723	 -1.764	 11.876
          0.960	  0.961	  0.044	 -0.018	-35.532	 -2.544	 11.943
          0.970	  0.961	  0.038	 -0.006	-33.997	 -3.561	 11.768
          0.980	  0.958	  0.023	 -0.003	-32.684	 -4.111	 11.486
          0.990	  0.958	  0.021	 -0.015	-32.264	 -4.023	 11.202
          1.000	  0.958	  0.018	 -0.015	-32.581	 -2.639	 10.611
          1.010	  0.946	  0.018	 -0.012	-33.051	  0.000	  9.453
          1.020	  0.932	  0.029	 -0.003	-33.089	  2.862	  7.985
          1.030	  0.920	  0.029	  0.015	-32.135	  4.938	  6.322
          1.040	  0.911	  0.026	  0.032	-29.443	  5.874	  4.585
          1.050	  0.905	  0.021	  0.067	-25.431	  7.177	  2.929
          1.060	  0.899	  0.012	  0.067	-21.434	  9.055	  1.192
          1.070	  0.888	 -0.003	  0.064	-18.029	 11.552	 -0.188
          1.080	  0.888	 -0.009	  0.064	-14.830	 14.339	 -1.003
          1.090	  0.902	 -0.015	  0.053	-12.448	 17.758	 -1.198
          1.100	  0.911	 -0.012	  0.056	-10.899	 20.655	 -0.787
          1.110	  0.932	  0.009	  0.053	-10.158	 23.280	  0.041
          1.120	  0.952	  0.026	  0.044	 -9.139	 24.922	  1.084
          1.130	  1.002	  0.050	  0.041	 -7.348	 25.424	  1.967
          1.140	  1.025	  0.026	  0.059	 -5.119	 24.806	  2.270
          1.150	  1.055	  0.018	  0.082	 -2.691	 22.216	  2.148
          1.160	  1.084	  0.006	  0.108	 -1.405	 19.285	  1.623
          1.170	  1.104	 -0.006	  0.097	 -2.752	 17.047	  0.606
          1.180	  1.146	 -0.041	  0.079	 -7.432	 13.485	 -0.895
          1.190	  1.178	 -0.047	  0.059	-15.861	 12.522	 -2.026
          1.200	  1.254	 -0.029	 -0.026	-26.294	 17.691	 -1.777
          1.210	  1.283	 -0.023	 -0.053	-33.921	 22.907	  0.491
          1.220	  1.298	 -0.056	 -0.041	-36.467	 23.517	  3.535
          1.230	  1.286	 -0.070	 -0.056	-35.975	 22.032	  6.430
          1.240	  1.242	 -0.067	 -0.082	-34.929	 19.366	  9.297
          1.250	  1.222	 -0.023	 -0.138	-35.479	 16.029	 12.852
          1.260	  1.189	  0.000	 -0.161	-37.364	 12.481	 16.023
          1.270	  1.172	  0.073	 -0.158	-38.926	  9.469	 17.989
          1.280	  1.148	  0.105	 -0.141	-40.598	  4.002	 18.978
          1.290	  1.069	  0.144	 -0.141	-43.102	 -0.889	 19.605
          1.300	  1.034	  0.152	 -0.158	-44.774	 -2.374	 19.564
          1.310	  1.017	  0.105	 -0.167	-44.278	 -2.666	 18.291
          1.320	  1.028	  0.079	 -0.170	-41.731	 -2.103	 16.448
          1.330	  1.046	  0.018	 -0.170	-38.677	 -1.465	 14.939
          1.340	  1.058	  0.009	 -0.155	-34.727	 -1.561	 13.472
          1.350	  1.113	 -0.015	 -0.138	-28.245	 -4.253	 11.633
          1.360	  1.146	 -0.053	 -0.144	-22.259	 -5.630	  7.958
          1.370	  1.184	 -0.067	 -0.152	-18.468	 -2.585	  2.027
          1.380	  1.204	 -0.029	 -0.082	-15.930	  0.780	 -5.109
          1.390	  1.198	  0.015	 -0.003	-12.742	  0.801	-11.411
          1.400	  1.131	  0.123	  0.120	 -9.463	 -2.245	-15.538
          1.410	  1.072	  0.170	  0.132	 -8.066	 -4.749	-17.672
          1.420	  0.949	  0.240	  0.091	 -8.154	 -4.701	-18.662
          1.430	  0.911	  0.264	  0.047	 -8.643	 -3.737	-19.180
          1.440	  0.882	  0.287	  0.044	 -8.074	 -3.880	-19.092
          1.450	  0.870	  0.287	  0.041	 -6.490	 -5.128	-18.129
          1.460	  0.853	  0.255	  0.035	 -4.459	 -6.709	-16.783
          1.470	  0.850	  0.199	  0.015	 -1.970	 -7.794	-15.551
          1.480	  0.847	  0.164	  0.003	  0.618	 -9.273	-14.265
          1.490	  0.855	  0.129	 -0.006	  3.348	-12.054	-12.757
          1.500	  0.855	  0.111	 -0.006	  6.226	-15.303	-11.558
          1.510	  0.876	  0.082	 -0.015	  8.635	-17.447	-11.074
          1.520	  0.885	  0.064	 -0.018	  9.776	-17.447	-11.317
          1.530	  0.902	  0.053	 -0.009	  8.784	-15.873	-11.364
          1.540	  0.911	  0.062	  0.015	  6.268	-12.861	-11.121
          1.550	  0.923	  0.073	  0.035	  3.489	 -8.330	-10.421
          1.560	  0.914	  0.079	  0.073	  1.298	 -4.042	 -9.687
          1.570	  0.917	  0.117	  0.082	 -0.237	  0.203	 -8.791
          1.580	  0.929	  0.149	  0.062	 -2.443	  4.083	 -7.473
          1.590	  0.935	  0.144	  0.050	 -4.199	  7.299	 -5.911
          1.600	  0.940	  0.132	  0.067	 -4.069	  8.363	 -4.396
          1.610	  0.943	  0.135	  0.082	 -1.764	  7.746	 -3.170
          1.620	  0.964	  0.132	  0.091	  1.512	  7.211	 -2.564
          1.630	  0.973	  0.132	  0.091	  4.169	  6.187	 -2.073
          1.640	  0.996	  0.141	  0.100	  5.970	  5.921	 -2.666
          1.650	  1.028	  0.144	  0.103	  5.902	  5.562	 -3.481
          1.660	  1.075	  0.155	  0.094	  3.695	  6.227	 -4.200
          1.670	  1.093	  0.179	  0.073	 -0.153	  8.086	 -4.981
          1.680	  1.107	  0.185	  0.064	 -4.619	 11.192	 -5.722
          1.690	  1.104	  0.185	  0.085	 -7.871	 13.553	 -6.065
          1.700	  1.090	  0.185	  0.108	 -8.188	 13.268	 -5.850
          1.710	  1.093	  0.167	  0.120	 -5.314	 12.706	 -5.823
          1.720	  1.093	  0.167	  0.111	 -1.000	 12.237	 -5.857
          1.730	  1.125	  0.188	  0.088	  5.772	  8.689	 -5.547
          1.740	  1.169	  0.190	  0.070	 14.365	  5.122	 -5.587
          1.750	  1.233	  0.193	  0.035	 22.003	  6.132	 -5.776
          1.760	  1.236	  0.190	  0.018	 28.374	  9.700	 -6.408
          1.770	  1.286	  0.179	 -0.006	 34.891	 12.095	 -8.381
          1.780	  1.321	  0.091	 -0.152	 38.338	 15.724	-12.212
          1.790	  1.368	  0.035	 -0.226	 36.967	 22.059	-17.450
          1.800	  1.383	 -0.059	 -0.258	 34.265	 26.448	-21.327
          1.810	  1.257	 -0.070	 -0.214	 34.772	 25.451	-21.287
          1.820	  1.063	 -0.067	 -0.155	 36.528	 20.567	-19.200
          1.830	  1.043	 -0.062	 -0.164	 37.120	 15.601	-17.597
          1.840	  1.043	 -0.006	 -0.190	 34.532	 10.399	-15.780
          1.850	  1.043	  0.032	 -0.190	 30.054	  5.210	-13.666
          1.860	  1.052	  0.105	 -0.167	 25.641	  0.902	-10.745
          1.870	  1.055	  0.138	 -0.129	 20.759	 -1.947	 -6.846
          1.880	  1.084	  0.141	 -0.105	 14.426	 -6.343	 -2.308
          1.890	  1.093	  0.129	 -0.082	  6.768	 -8.961	  2.586
          1.900	  1.099	  0.126	 -0.091	 -1.130	 -8.004	  8.039
          1.910	  1.102	  0.097	 -0.091	 -7.562	 -5.759	 13.250
          1.920	  1.102	  0.062	 -0.079	-10.845	 -4.104	 17.039
          1.930	  1.058	 -0.038	 -0.047	-11.231	 -2.747	 19.409
          1.940	  1.025	 -0.088	 -0.032	 -9.593	 -1.811	 20.864
          1.950	  0.958	 -0.167	 -0.012	 -6.883	 -2.483	 21.314
          1.960	  0.938	 -0.185	 -0.015	 -4.714	 -3.466	 20.985
          1.970	  0.902	 -0.185	 -0.038	 -5.119	 -3.975	 19.961
          1.980	  0.888	 -0.167	 -0.059	 -8.039	 -3.195	 18.285
          1.990	  0.861	 -0.123	 -0.059	-11.601	 -1.784	 16.555
          2.000	  0.855	 -0.067	 -0.032	-14.422	 -1.866	 14.852
          2.010	  0.873	 -0.050	 -0.021	-17.029	 -1.967	 13.337
          2.020	  0.885	 -0.021	 -0.012	-19.934	 -0.930	 12.286
          2.030	  0.920	 -0.012	  0.000	-22.324	 -0.373	 11.458
          2.040	  0.940	  0.021	  0.032	-23.904	 -0.536	 10.893
          2.050	  0.940	  0.029	  0.047	-24.710	 -1.743	 10.664
          2.060	  0.932	  0.029	  0.056	-25.240	 -3.337	 10.408
          2.070	  0.929	  0.026	  0.053	-25.321	 -5.175	  9.709
          2.080	  0.914	  0.032	  0.062	-23.973	 -7.373	  8.476
          2.090	  0.902	  0.029	  0.073	-21.385	 -8.662	  6.773
          2.100	  0.879	  0.009	  0.070	-18.724	 -8.500	  4.854
          2.110	  0.876	 -0.006	  0.070	-16.453	 -7.746	  3.023
          2.120	  0.885	 -0.012	  0.076	-14.369	 -6.119	  1.428
          2.130	  0.891	 -0.018	  0.082	-12.601	 -2.653	  0.034
          2.140	  0.891	 -0.018	  0.082	-11.292	  2.062	 -0.787
          2.150	  0.902	 -0.021	  0.076	 -9.711	  6.410	 -1.023
          2.160	  0.926	 -0.023	  0.073	 -7.261	 10.019	 -1.056
          2.170	  0.979	 -0.021	  0.064	 -4.783	 13.126	 -1.077
          2.180	  1.008	 -0.009	  0.062	 -2.329	 15.330	 -1.306
          2.190	  1.072	  0.026	  0.056	 -0.744	 17.440	 -1.851
          2.200	  1.096	  0.050	  0.062	  1.153	 18.274	 -2.242
          2.210	  1.128	  0.097	  0.073	  4.081	 17.596	 -2.235
          2.220	  1.128	  0.091	  0.108	  7.249	 15.480	 -1.898
          2.230	  1.090	  0.073	  0.129	  9.165	 14.429	 -1.373
          2.240	  1.072	  0.000	  0.152	  8.089	 13.553	 -1.608
          2.250	  1.066	 -0.032	  0.158	  2.985	 13.397	 -2.686
          2.260	  1.093	 -0.079	  0.132	 -5.478	 16.219	 -3.844
          2.270	  1.116	 -0.094	  0.114	-14.575	 20.493	 -4.605
          2.280	  1.163	 -0.132	  0.097	-22.061	 23.450	 -4.652
          2.290	  1.172	 -0.141	  0.076	-27.737	 24.691	 -3.716
          2.300	  1.178	 -0.117	  0.000	-32.112	 22.731	 -1.393
          2.310	  1.181	 -0.091	 -0.123	-37.093	 16.287	  2.276
          2.320	  1.198	 -0.006	 -0.196	-43.426	  8.947	  8.173
          2.330	  1.219	  0.097	 -0.293	-48.099	  6.986	 15.053
          2.340	  1.222	  0.132	 -0.275	-48.725	  6.845	 19.537
          2.350	  1.201	  0.173	 -0.202	-47.114	  3.235	 20.661
          2.360	  1.128	  0.188	 -0.167	-43.006	 -2.151	 20.506
          2.370	  1.084	  0.190	 -0.132	-36.147	 -7.048	 19.531
          2.380	  1.069	  0.161	 -0.129	-29.272	 -9.164	 17.888
          2.390	  1.043	  0.094	 -0.138	-24.702	 -9.035	 15.949
          2.400	  1.043	  0.076	 -0.132	-20.576	 -7.543	 14.199
          2.410	  1.093	  0.029	 -0.114	-17.045	 -4.722	 11.674
          2.420	  1.128	 -0.003	 -0.079	-13.891	  0.393	  7.635
          2.430	  1.160	 -0.047	 -0.038	 -9.379	  5.400	  2.424
          2.440	  1.169	 -0.012	  0.088	 -1.741	  7.373	 -3.507
          2.450	  1.172	  0.032	  0.146	  8.051	  6.017	 -8.522
          2.460	  1.110	  0.129	  0.205	 17.029	  1.994	-11.916
          2.470	  1.061	  0.164	  0.179	 22.332	 -1.614	-13.962
          2.480	  0.979	  0.237	  0.091	 24.275	 -5.183	-15.086
          2.490	  0.949	  0.264	  0.059	 24.355	 -8.642	-15.093
          2.500	  0.885	  0.287	  0.009	 23.545	-11.559	-14.009
          2.510	  0.858	  0.278	 -0.006	 22.374	-13.404	-12.535
          2.520	  0.844	  0.220	 -0.012	 21.816	-15.019	-11.020
          2.530	  0.847	  0.193	  0.015	 22.603	-17.610	 -9.613
          2.540	  0.861	  0.135	  0.029	 25.252	-19.970	 -8.678
          2.550	  0.870	  0.067	  0.032	 28.359	-20.635	 -8.314
          2.560	  0.882	  0.047	  0.029	 30.550	-21.368	 -7.970
          2.570	  0.888	  0.018	  0.029	 31.375	-21.923	 -7.675
          2.580	  0.888	  0.009	  0.029	 31.291	-20.804	 -7.439
          2.590	  0.876	  0.006	  0.044	 29.928	-18.654	 -7.102
          2.600	  0.879	  0.012	  0.053	 27.630	-15.290	 -6.671
          2.610	  0.899	  0.029	  0.076	 24.328	-11.837	 -5.695
          2.620	  0.908	  0.038	  0.085	 20.159	 -9.090	 -4.160
          2.630	  0.929	  0.059	  0.094	 15.651	 -6.383	 -2.733
          2.640	  0.940	  0.070	  0.103	 11.292	 -4.532	 -1.521
          2.650	  0.955	  0.085	  0.100	  7.024	 -2.401	 -1.050
          2.660	  0.958	  0.097	  0.105	  3.294	  0.502	 -0.572
          2.670	  0.940	  0.091	  0.111	  0.741	  1.797	 -0.134
          2.680	  0.943	  0.073	  0.123	 -0.248	  0.807	  0.451
          2.690	  0.961	  0.067	  0.117	 -0.828	 -0.299	  0.075
          2.700	  1.017	  0.059	  0.126	 -2.279	 -1.893	 -0.094
          2.710	  1.031	  0.056	  0.123	 -4.069	 -2.116	 -0.653
          2.720	  1.087	  0.073	  0.111	 -6.841	 -0.971	 -1.192
          2.730	  1.104	  0.076	  0.091	-10.528	  2.198	 -2.410
          2.740	  1.146	  0.100	  0.059	-13.846	  5.935	 -4.429
          2.750	  1.166	  0.108	  0.059	-15.483	  9.144	 -7.008
          2.760	  1.201	  0.117	  0.070	-13.170	  9.836	 -9.606
          2.770	  1.230	  0.120	  0.064	 -6.509	  7.841	-11.592
          2.780	  1.280	  0.114	  0.038	  0.825	  7.156	-12.542
          2.790	  1.271	  0.146	  0.003	  5.421	  9.646	-12.488
          2.800	  1.254	  0.182	  0.021	  9.375	 12.542	-11.754
          2.810	  1.225	  0.243	  0.053	 15.136	 12.522	-11.202
          2.820	  1.230	  0.240	  0.023	 21.824	 10.677	-11.639
          2.830	  1.266	  0.196	 -0.073	 26.951	 10.215	-13.666
          2.840	  1.286	  0.161	 -0.108	 29.230	 12.292	-16.426
          2.850	  1.298	  0.100	 -0.105	 31.913	 14.326	-18.419
          2.860	  1.274	  0.056	 -0.097	 34.692	 14.082	-18.971
          2.870	  1.163	  0.000	 -0.105	 36.605	 10.555	-17.281
          2.880	  1.102	 -0.009	 -0.141	 37.521	  6.512	-14.299
          2.890	  1.017	 -0.012	 -0.167	 36.486	  2.883	-11.485
          2.900	  0.990	  0.003	 -0.188	 32.757	 -2.680	 -9.284
          2.910	  0.981	  0.021	 -0.179	 27.252	 -7.625	 -7.378
          2.920	  0.981	  0.044	 -0.170	 21.488	-11.139	 -5.473
          2.930	  0.987	  0.044	 -0.155	 15.331	-14.232	 -3.682
          2.940	  0.999	  0.029	 -0.126	  8.139	-15.779	 -1.804
          2.950	  0.996	  0.023	 -0.129	  0.286	-13.804	  0.438
          2.960	  0.993	  0.026	 -0.146	 -7.245	-10.806	  3.252
          2.970	  0.999	  0.021	 -0.126	-12.670	 -8.004	  6.355
          2.980	  0.996	 -0.026	 -0.111	-15.357	 -5.454	  9.398
          2.990	  0.990	 -0.085	 -0.085	-16.121	 -4.253	 11.997
          3.000	  0.979	 -0.111	 -0.070	-16.403	 -4.653	 13.984
          3.010	  0.964	 -0.149	 -0.041	-16.556	 -5.624	 15.000
          3.020	  0.955	 -0.152	 -0.029	-16.716	 -6.478	 15.047
          3.030	  0.932	 -0.126	 -0.026	-17.514	 -5.773	 14.541
